360, 33, 411, 39, 366, 72, (222, 30, 18)
360, 33, 366, 72, 351, 96, (178, 17, 5)
360, 33, 351, 96, 318, 72, (252, 55, 40)
411, 39, 438, 24, 465, 75, (222, 30, 18)
411, 39, 465, 75, 393, 78, (222, 30, 18)
411, 39, 393, 78, 366, 72, (178, 17, 5)
366, 72, 393, 78, 372, 117, (178, 17, 5)
366, 72, 372, 117, 351, 96, (178, 17, 5)
318, 72, 351, 96, 273, 120, (222, 30, 18)
318, 72, 273, 120, 279, 84, (252, 55, 40)
393, 78, 468, 117, 372, 117, (178, 17, 5)
393, 78, 465, 75, 468, 117, (178, 17, 5)
372, 117, 378, 162, 273, 120, (222, 30, 18)
351, 96, 372, 117, 273, 120, (222, 30, 18)
372, 117, 468, 117, 378, 162, (222, 30, 18)
468, 117, 453, 201, 378, 162, (178, 17, 5)
273, 120, 378, 162, 321, 168, (252, 55, 40)
321, 168, 378, 162, 408, 222, (252, 55, 40)
378, 162, 453, 201, 453, 222, (178, 17, 5)
378, 162, 453, 222, 408, 222, (252, 55, 40)
321, 168, 408, 222, 330, 204, (222, 30, 18)
330, 204, 402, 258, 342, 243, (178, 17, 5)
330, 204, 408, 222, 402, 258, (222, 30, 18)
408, 222, 453, 222, 402, 258, (222, 30, 18)
382, 258, 420, 550, 382, 550, (18, 117, 5)
382, 258, 420, 550, 432, 258, (18, 117, 5)
